context	segment	gender
"In his personal life, Student remains involved with both the Haredi and Modern Orthodox worlds in Brooklyn. "	" According to Student, I live in a moderate Haredi neighborhood, attend Haredi synagogues, send my children to moderate Haredi schools but still maintain professional and friendly relations with the Modern Orthodox world."	male
He received his M.A. in English from McGill University in 1928 and his Ph.D. in the discipline from the University of Wisconsin–Madison in 1935. 	" Professionally, Hayakawa was a linguist, psychologist, semanticist, teacher, and writer."	male
"Slap-guitarist Miyavi, who has his roots in visual kei, has toured worldwide extensively since 2008, when his This Iz The Japanese Kabuki Rock Tour 2008 tour covered a distance of approximately 48,385 miles, equivalent to almost two trips around the world, and the majority of the concerts were sold out and covered extensively by media organizations. "	 It was the most successful international tour undertaken by a Japanese artist in history.	male
"Whittier was heavily influenced by the doctrines of his religion, particularly its stress on humanitarianism, compassion, and social responsibility. "	 Whittier was first introduced to poetry by a teacher.	male
"In addition, as understudy to Kenneth Sandford, he often played Private Willis in Iolanthe, King Hildebrand in Princess Ida, Pooh-Bah in The Mikado, Sir Despard Murgatroyd in Ruddigore, Wilfred Shadbolt in The Yeomen of the Guard, and Don Alhambra in The Gondoliers. "	 Cook was also known for crafting the Japanese-style fans used by D'Oyly Carte and numerous amateur G&S societies for productions of The Mikado throughout the UK and abroad.	male
"He was later appointed as a Civil, Commercial and Labor Judge on the Comodoro Rivadavia circuit and on the Chamber of Appeals of both Trelew and Comodoro Rivadavia. "	 Guinle entered politics as Government Secretary for the Municipality of Comodoro Rivadavia in 1986.	male
"However he often spent long periods at the Château de Saché, near Tours, the home of his friend Jean de Margonne, his mother's lover and father to her youngest child. "	 Today the chateau is a museum dedicated to the author's life.	male
"After the dentist takes Lavonia to the dental room, his nurse Flovilla kisses Lamar. "	 The doctor then switches places with the nurse.	male
He is best known internationally for his comprehensive two-volume The Structure and Reproduction of the Algae; However his A Treatise of the British Freshwater Algae was also important. 	 Fritsch became a co-author of the revised edition in 1927.	male
"After a long period of absence lasting more than a decade, he directed a film, Nerkkuneraey (Face to Face), in (2004). "	 Menon made a name as a versatile Poster Designer as well.	male
"“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” "	" As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television."	male
"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford. "	" Willetts is the author of several books on conservatism, including Why Vote Conservative (1996) and Modern Conservatism (1992), as well as numerous articles."	male
"Though baptised as Emilio Stanley by Italian missionaries in his youth, he has been known as Mwai Kibaki throughout his public life. "	 Kibaki turned out to be an exemplary student.	male
"Reviewing X-Men: Evolution's third season, Filip Vukcevic of IGN was mixed in his analysis, deeming it inferior to X-Men: The Animated Series and concluding, Evolution ... will interest long-time X-fans, but the fluffy stories and underutilized character personalities ... will cause discerning viewers to zone out, suffering from its attempt to cram everyone in. "	" The author also panned the series' average voice acting, feeling that Magneto, Wolverine and Beast were miscast."	male
"Writing in Wisden in 1978, Basil Easterbrook said: Not the least of Turnbull's achievements was that he was the first man to justify Glamorgan's elevation to first-class status in 1921. "	" When Turnbull took over [in 1930, as captain and club secretary] they were indeed a bedraggled flock without a shepherd."	male
"For that role, he received a nomination for the Academy Award for Best Actor, the first for a Spaniard. "	" Instead, in 2002, Bardem starred in Malkovich's directorial debut, The Dancer Upstairs."	male
"In 1960, he married French-Canadian Janick Larouche, whom he met in a language class in Toronto, and with whom he had sons Pierre and Hans. "	" Professionally, Zündel worked as a graphic artist, photographer, photo retoucher, and printer."	male
"Nor is Ḥiyya's authorship contradicted by various contradictions presented by individual passages in the Sifra as compared with the Tosefta, which latter also is ascribed to him. "	" If it is assumed that Ḥiyya is the author, the title Sifra debei Rav is to be explained as indicating that Sifra was among the midrashim which were accepted by Rav's school and which thereby came into general use."	male
"It was found that three cooks had prepared the meals, one of whom had infected lesions on the index and middle finger of his right hand. "	 The lesions on the cook’s fingers were found to be infected with staphylococci.	male
