context	segment	gender
"By studying the histolotgic sections of the teeth of animals, he inspired a new discipline: the histo-physiology of teeth and surrounding structures. "	 Schour was an innovative teacher who ensured that dental professionals were kept abreast of non-dental research in the other sciences by founding the annual Midwest Seminar of Dental Medicine.	male
"In 1994–95, he conducted a research project for the New York Times on how to transform the print newspaper into a multimedia publication. "	" Ritchin is a prolific author and curator, focusing on digital media and the rapid changes occurring in photography."	male
He is the recipient of many academic honours (see below). 	" Giddens, the author of over 34 books and 200 articles, essays and reviews, has contributed and written about most notable developments in the area of social sciences, with the exception of research design and methods."	male
"I throw away most of what I write, he said in a 2006 interview. "	 I feel a lot of guilt about the freedom that being an artist provides.	male
"In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. "	 Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	male
"In the ensuing months, he conceded parts of the allegations, telling Christianity Today that there had been only thirteen members of his coven, not 1,500 as originally claimed, and that of those thirteen, the whereabouts of five were unknown to him, while the other eight had since died. "	" Initially, Word Records stated that they would stand by their artist."	male
"He died in Plovdiv, Bulgaria in 1966. "	 Mandzhukov is the author of several books devoted to the revolutionary struggles from 1895 to 1903.	male
He also directed numerous TV dramas as well as short films and documentaries. 	" The author of the awarded theatre play, Bashkeshortet and playwright of others staged in Kosovo."	male
He appeared in stage productions throughout college and continued on stage long after his tour of duty in Vietnam. 	 Savini served as a combat photographer during the Vietnam War.	male
"In 1995, he made an appearance on Broadway, providing the voice of the titular book in the 1995 revival of How to Succeed in Business Without Really Trying. "	" Cronkite was a finalist for NASA's Journalist in Space program, which mirrored the Teacher in Space Project, an opportunity that was suspended after the Challenger disaster in 1986."	male
He received his M.A. in English from McGill University in 1928 and his Ph.D. in the discipline from the University of Wisconsin–Madison in 1935. 	" Professionally, Hayakawa was a linguist, psychologist, semanticist, teacher, and writer."	male
"Slap-guitarist Miyavi, who has his roots in visual kei, has toured worldwide extensively since 2008, when his This Iz The Japanese Kabuki Rock Tour 2008 tour covered a distance of approximately 48,385 miles, equivalent to almost two trips around the world, and the majority of the concerts were sold out and covered extensively by media organizations. "	 It was the most successful international tour undertaken by a Japanese artist in history.	male
"He then went to Sydney and then Melbourne holding exhibitions of his work, and died of cancer in Melbourne on 3 January 1939. "	" Evergood was a capable artist, who mostly painted landscapes in oil with affinities to the post impressionists."	male
