context	segment	gender
He continued to gain recognition as an applied artist due to his success at the Paris International Exhibit of the Decorative Arts in 1925. 	" After these wins, Brodovitch's career as an applied artist took off."	male
There isn't any record of Mr. Hewes ever relinquishing his Quaker membership nor is there any evidence that he was disowned by any Friends Monthly Meeting. 	" At the beginning of the year 1776, Hewes was appointed as the new Secretary of the Naval Affairs Committee."	male
"It is added that he then retired to Virginia, but this is not known for sure, and he may have remained in Virginia, dying there at some unknown date. "	 Poyntz was the author of the following pamphlets:	male
"Hemingway shows, through Jake's actions, his disapproval of the people who did not pay up. "	" As such, the author created an American hero who is impotent and powerless."	male
"At Eton he developed an interest in ornithology, guided by science master W. "	 Piggy was a genius as a teacher ...	male
"Lecocq enjoyed an early success in 1856, when he and Georges Bizet shared the first prize in a competition for composers of comic opera, organised by Jacques Offenbach. "	" Lacking the connections to secure commissions from Parisian theatres, Lecocq spent the next decade in obscurity and routine work as a teacher, accompanist and répétiteur."	male
"Startide Rising is a 1983 science fiction novel by American writer David Brin, the second book of six set in his Uplift Universe (preceded by Sundiver and followed by The Uplift War). "	 It was revised by the author in 1993 to correct errors and omissions from the original edition.	male
"He sat down, took a couple of rolls, and he had it. "	" The original concept was to paint the picture from edge to edge, with no bleeding, title or artist credit – a concept that went against music industry practice and was immediately vetoed by EMI."	male
"I throw away most of what I write, he said in a 2006 interview. "	 I feel a lot of guilt about the freedom that being an artist provides.	male
"Welles' main objection to the generally accepted translations of Nostradamus' quatrains (so called because Nostradamus organized all his works into a series of four lined prose, which were then collected into centuries, or groups of 100 such works) relates in part to the translation efforts. "	" While many skilled linguists have worked on the problem of translating the works of Nostradamus, all have struggled with the format the author used."	male
	" According to one student, Medvedev was a popular teacher; strict but not harsh."	male
"Similarly, he has found that people look to external behavior in evaluating biases in others, but engage in introspection when evaluating their own. "	" Gilovich was an early author in the clustering illusion, which is closely related to the hot hand fallacy, and is the tendency to see clusters of data in a random sequence of data as nonrandom."	male
His work was originally designed for the gate of Saint Peter's Basilica in Rome. 	" The first design was ready in 1970 but, due to a series of historical events it was only inaugurated in 1983 in the presence of the artist, who was by then seriously ill."	male
"“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” "	" As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television."	male
"Under the clouds from the gas chambers, as he put it in his seminal work on Juan Gris. "	" Kahnweiler was very prolific as an author, but never produced a full autobiography."	male
"He is also a member of the group Dilated Peoples, as well as being one-half of Step Brothers with The Alchemist. "	" Before creating music, Perretta was a graffiti artist."	male
"In the 1950s, Mazniashvili's son, a World War II veteran of the Soviet army, submitted a request for a political rehabilitation of his father, but this was turned down by the authorities. "	 Maznashvili is the author of the popular Soldier’s Memoirs.	male
"By 1748 his novel Clarissa was published in full: two volumes appeared in November 1747, two in April 1748, and three in December 1748. "	" Unlike the novel, the author was not faring well at this time."	male
"In clinical psychological practice in the United States, duty to warn requires a clinician who has reasonable grounds to believe that a client may be in imminent danger of harming himself or others to warn the possible victims. "	 Duty to warn is among the few exceptions to a client's right to confidentiality and the therapist's ethical obligation to maintain confidential information related in the context of the therapeutic relationship.	male
"Because Kravitz was not wearing underpants, his genitals were briefly exposed to the audience. "	" As a designer, Kravitz launched a furniture collection in partnership with CB2 in 2015."	male
Durrio tried to help his poverty-stricken friend in Tahiti by promoting his oeuvre in Paris. 	 The 1906 exhibition of Gauguin's work left Picasso more than ever in this artist's thrall.	male
"In his Reflection series, produced between 1988 and 1990, Lichtenstein reused his own motifs from previous works. "	 Interiors (1991–1992) is a series of works depicting banal domestic environments inspired by furniture ads the artist found in telephone books or on billboards.	male
"In the late 1980s and early 1990s, he turned from programming and application books to imaging technology, writing some of the very first books devoted to scanners (The Complete Scanner Handbook, Dow-Jones Irwin, 1990) and digital Photography (Digital Photography, MIS Press, 1995.) "	" While working full-time as an author, Busch continued to write articles and monthly columns for magazines such HomePC, Macworld, Internet World, NetGuide, Windows Magazine, Windows Sources, and many other publications."	male
"He successfully managed the Conservative Party's 1983 election campaign, and was rewarded with an appointment as Secretary of State for Trade and Industry, but was forced to resign after revelations that his former secretary, Sara Keays, was pregnant with his child, whom she later bore and named Flora Keays. "	" Parkinson subsequently served as Secretary of State for Energy, and later Secretary of State for Transport."	male
"Born in East Centreville, New Brunswick he served overseas in the Canadian Army during the Second World War. "	" A teacher at the age of sixteen, Cogswell gained a BA(Hons) and MA at the University of New Brunswick and received a PhD from Edinburgh University."	male
Partha Mitter describes him as the only Indian painter before the 1940s who made use of the language and syntax of Cubism in his painting. 	" From 1925 onwards, the artist developed a complex post-cubist style."	male
"Paul intervenes and overpowers him, but he wriggles free. "	 The librarian is then run over by a car in front of the library and apparently killed.	male
	 A surrogate's life may be very similar to that of the author.	male
"The artist currently lives and works in the outskirts of Cali, where he devotes his time both to the exploration of painting and artistic materials and techniques. "	 The artist's online magazine has been discontinued as of 2007.	male
"He quickly discerned the genius of George Eliot, forthwith accepting and publishing in his magazine the first instalment of her earliest fiction the 'Scenes of Clerical Life,' which had been sent to him without the name of the author, for whom thus early he predicted a great career as a novelist. "	" This commencement of a business connection was soon followed by a personal acquaintance between author and publisher, which ripened into intimacy."	male
"As a result of his family's hunting activities, motifs of dissection started to appear in his works around 2011, with some aspects of it already evident in works from previous years. "	" The work Fur Skin Skeleton is considered the first to bare such style, according to the artist."	male
"Corbetta was the most significant guitar composer of his day (Gaspar Sanz called him el mejor de todos, or the greatest of all) and one of the first to publish in the mixed style. "	 Corbetta was also influential as a teacher.	male
"In the midst of it, Kōji temporarily loses his voice and is forced to go back to his brother and family. "	" Due to the manga artist's illness, the manga ended at volume 19 without a proper ending."	male
"Moberg himself was born on a farm just north-west of the town Emmaboda in 1898, where a monument stone now stands since 1970. "	 Nearby is also a small museum about the author.	male
"In 1912 the novel Dry Valley (Суходол) came out, his second major piece of semi-autobiographical fiction, concerning the dire state of the Russian rural community. "	" Again it left the literary critics divided: social democrats praised its stark honesty, many others were appalled with the author's negativism."	male
"As part of the war effort Blickensderfer converted much of his factory to produce munitions for the war, including a machine gun belt feed for the French government and 50 caliber machine gun mounts for aircraft. "	" With the brilliant chief engineer and designer gone, the company could not continue, and the heirs sold the company in 1919."	male
"Reviewing X-Men: Evolution's third season, Filip Vukcevic of IGN was mixed in his analysis, deeming it inferior to X-Men: The Animated Series and concluding, Evolution ... will interest long-time X-fans, but the fluffy stories and underutilized character personalities ... will cause discerning viewers to zone out, suffering from its attempt to cram everyone in. "	" The author also panned the series' average voice acting, feeling that Magneto, Wolverine and Beast were miscast."	male
"He is reputed to have led a secluded Islamic life as a marabout until his death on 14 October 2017 in Sévaré, aged 77. "	" It was met with wide critical acclaim, winning the Prix Renaudot that very year, the first African author to do so."	male
"In a scene in the episode, Homer channels his anger into his art. "	" The scene is a reference to the 1959 comedy horror film A Bucket of Blood, in which an artist is screaming at a piece of clay to be a nose."	male
"Slap-guitarist Miyavi, who has his roots in visual kei, has toured worldwide extensively since 2008, when his This Iz The Japanese Kabuki Rock Tour 2008 tour covered a distance of approximately 48,385 miles, equivalent to almost two trips around the world, and the majority of the concerts were sold out and covered extensively by media organizations. "	 It was the most successful international tour undertaken by a Japanese artist in history.	male
"The student confesses he does not know, with the ethical precept, answering with untruth, when one does not know the answer, is wrong. "	 The student asks sage Pippalada the same question.	male
"Charles E. Dvorak of the C.A.A. then demonstrated his class, and from the 11-foot mark he competed alone, the other four men being tied at that mark. "	" After retiring from athletic competition, Dvorak worked over the next 35 years as a lawyer, apple farmer, civil servant, athletic coach and teacher."	male
"As Professor of Painting at the Royal Academy he gave a memorable series of lectures to the students of the Schools, published as Six Lectures on Painting (1904) and Aims and Ideals in Art (1906). "	 Clausen was an official war artist during World War I.	male
"In 1960, he married French-Canadian Janick Larouche, whom he met in a language class in Toronto, and with whom he had sons Pierre and Hans. "	" Professionally, Zündel worked as a graphic artist, photographer, photo retoucher, and printer."	male
"In 1851, he was elected a foreign member of the Royal Swedish Academy of Sciences. "	 This botanist is denoted by the author abbreviation Brongn.	male
	 Cook was pressed into service as a player as a result of injuries.	male
"Another erotic novel attributed to him was The Exploits of a Young Don Juan (Les exploits d'un jeune Don Juan), in which the 15-year-old hero fathers three children with various members of his entourage, including his aunt. "	 Apollinaire's gift to Picasso of the original 1907 manuscript was one of the artist's most prized possessions.	male
"Outside of Social Security, he was involved in implementation of a federal and state civil service merit system and for a policy making federal grants proportional to per capita state income. "	" During World War Two, Altmeyer was the secretary of the War Manpower Commission."	male
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. 	" Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich."	male
"If this was a court of law, there would have been nothing proven, Goldstone said, emphasizing that his conclusion that war crimes had been committed was always intended as conditional. "	" Nevertheless, the report itself is replete with bold and declarative legal conclusions seemingly at odds with the cautious and conditional explanations of its author."	male
As early as 1895 his famous Vie de Monsieur Quelconque and Vie de Madame Quelconque poked holes in the established understanding of the typical aspirations of the middle class in matters both public and private. 	 By 1900 most Parisians familiar with the local news weeklies were aware of the artist's work.	male
Ørsted himself recounted how he influenced Zeise through conversations and encouraged him when he expressed the desire to take the university entrance examination (Examen artium). 	 Zeise became a university student in 1809.	male
Among the authors whose works he has examined are Edward Said and Yvonne Vera. 	" Zeleza is the author of scores of articles and essays and more than two dozen books, including the following"	male
"He is also a fan of football and follows his hometown professional football team, FC Zenit Saint Petersburg. "	 Medvedev is an avid amateur photographer.	male
"In 1849, he was appointed to a teaching post in Ajaccio (Corsica), then in 1853 moved on to the lycée in Avignon. "	" Fabre was a popular teacher, physicist, chemist and botanist."	male
He has two daughters and a son. 	 Vaiko is now the general secretary of the MDMK party.	male
In 1930 he was promoted to Deputy Prosecutor in a local court in Brzeżany. 	" While Public Prosecutor, Lemkin was also secretary of the Committee on Codification of the Laws of the Republic of Poland, which codified the penal codes of Poland, and taught law at Tachkemoni College in Warsaw."	male
"The story of GPA's downfall is told by Christopher Brown, aviation lawyer and GPA Senior Vice-President, in his 2009 book Crash Landing – An Inside Account of the Fall of GPA. "	 It is based on a contemporaneous diary of events kept by the author from 1990 to 1996 while employed by GPA and subsequently GECAS.	male
"According to al-Jawbari in his book Kashf al-Asrar (Unveiling the Secrets)members of the Haydariyya dervish order took Hashish before staging their performances of self-mutilation, in order to numb the pain. "	 The author was a conjuror whose writing was an exposé of not only magic tricks but also the 'dodges' of beggars and other 'low-life'.	male
"The Polish writer Bolesław Prus, for the sake of making a point, introduces into chapter 63 of his historical novel Pharaoh, set in the ancient Egypt of 1087–1085 BCE, a substance that behaves like gunpowder. "	" Another apparent anatopism introduced by the author (in chapter 45) is an object that resembles a telescope, that may also be an anachronism."	male
"In 1957, he went to the United States to study at the University of California, Berkeley, and was a research assistant to Seymour Martin Lipset. "	 Etzioni is the author of over 30 books.	male
"In 1993 Jungnickel joined Augsburg University where he occupies the chair for discrete mathematics, optimisation, and operations research. "	 A reviewer notes that The author does a beautiful job showing and developing the practical applicability of the fascinating area of finite field theory.	male
"To cure the psychological maladjustment, [it's necessary] to catch him in his true state. "	" Blummer was surprised by these provisions, saying, I don't know of any time when such monitoring has been used on an artist."	male
"Camejo was survived by his wife, Morella Camejo; stepdaughter Alexandra Baquero, stepson Victor Baquero, and brothers Antonio and Daniel Camejo and Danny Ratner. "	 Camejo is the author of The SRI Advantage: Why Socially Responsible Investing Has Outperformed Financially.	male
"In 1916, Schulz Solari first signed his work Xul Solar,” ostensibly for the purposes to simplify the phonetics of his name, but an examination of the adopted name reveals that the first name is the reverse of lux,” which means light in Latin. "	" Combined with solar, the name reads as the light of the sun, and demonstrates the artist's affinity for the universal source of light and energy."	male
"French quoted Blavatsky as saying: No author in the world of literature ever gave a more truthful or more poetical description of these beings than Sir E. Bulwer-Lytton, the author of Zanoni. "	" This novel is especially important for followers of occultism because of the suspicion--actively fostered by its author--that the work is not a fictional account of a mythical fraternity, but an accurate depiction of a real brotherhood of immortals."	male
"By chance, the original maker, now a grown man, is working there as a local guide and he also sees the newspaper. "	" Each movement of the canoe is celebrated by a short chapter, suitable for reading aloud to a child and decorated with black-and-white sketches and at least one full-page watercolor, all by the author."	male
He was elected Member of Parliament for Berwick-upon-Tweed in 1951 where he served until 1973. 	 Lambton was made a Parliamentary Under-Secretary of State for Defence (RAF) in 1970.	male
"After his time at Yale, he went on a Grand Tour of Europe between 1832 and 1833. "	" Pell had a passion for agricultural pursuits, and was a familiar figure in agricultural clubs and conventions, as well as an author of many valuable papers on fruit-culture and kindred topics."	male
