context	segment	gender
"During the 1870s, several incidents made Alexander Stewart hostile towards Seligman, although the two men had served together on the board of the New York Railways Company, whose president was Judge Henry Hilton, a Tweed Ring associate. "	 The first incident involved Seligman's declining the post of Secretary of the Treasury.	male
"He then went to Sydney and then Melbourne holding exhibitions of his work, and died of cancer in Melbourne on 3 January 1939. "	" Evergood was a capable artist, who mostly painted landscapes in oil with affinities to the post impressionists."	male
His work was originally designed for the gate of Saint Peter's Basilica in Rome. 	" The first design was ready in 1970 but, due to a series of historical events it was only inaugurated in 1983 in the presence of the artist, who was by then seriously ill."	male
Motl is described as having a natural talent for drawing cartoons – sometimes getting into trouble with people feeling insulted by his depiction of them. 	 Some episodes indicate that the author intended to have the character enter a journalistic career.	male
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. 	" Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich."	male
"It was found that three cooks had prepared the meals, one of whom had infected lesions on the index and middle finger of his right hand. "	 The lesions on the cook’s fingers were found to be infected with staphylococci.	male
"Since a journal is written from the perspective of each day, Mountstuart's moods change as events affect him. "	" The form lends itself to plotlessness, since the author/narrator inevitably cannot see the overall structure of the story."	male
Various attempts have been made to clear up the error concerning the mention of Tyre as a subsequent bishopric of Methodius; it is possible that he was transported to Tyre during the persecution and died there. 	" Methodius had a comprehensive philosophical education, and was an important theologian as well as a prolific and polished author."	male
"In 1849, he was appointed to a teaching post in Ajaccio (Corsica), then in 1853 moved on to the lycée in Avignon. "	" Fabre was a popular teacher, physicist, chemist and botanist."	male
"Though baptised as Emilio Stanley by Italian missionaries in his youth, he has been known as Mwai Kibaki throughout his public life. "	 Kibaki turned out to be an exemplary student.	male
"The Polish writer Bolesław Prus, for the sake of making a point, introduces into chapter 63 of his historical novel Pharaoh, set in the ancient Egypt of 1087–1085 BCE, a substance that behaves like gunpowder. "	" Another apparent anatopism introduced by the author (in chapter 45) is an object that resembles a telescope, that may also be an anachronism."	male
"While the opposing team's starting lineup is announced, the student section shakes newspapers, and after each name chants, So What Who Cares Who's He? "	" Each time an opposing player commits a foul the student section chants the number of fouls that player has, and every time a K-State player sinks a three-point basket, the announcer says the name of the player followed by for, and then the crowd echoes three!"	male
