context	segment	gender
"He appeared as such by his work in three volumes, published in 1835 with the title: Observations sur le projet de révision du Code pénal. "	 This work could not miss drawing the attention to its author.	male
He is the recipient of many academic honours (see below). 	" Giddens, the author of over 34 books and 200 articles, essays and reviews, has contributed and written about most notable developments in the area of social sciences, with the exception of research design and methods."	male
"CP Leblond was born in Lille, France, in 1910, the son of a building contractor who died when Leblond was only 10 years old, leaving his mother to raise four boys on her own. "	" A brilliant student, Leblond debated becoming a film producer, an architect or a scientist."	male
"He quickly discerned the genius of George Eliot, forthwith accepting and publishing in his magazine the first instalment of her earliest fiction the 'Scenes of Clerical Life,' which had been sent to him without the name of the author, for whom thus early he predicted a great career as a novelist. "	" This commencement of a business connection was soon followed by a personal acquaintance between author and publisher, which ripened into intimacy."	male
He appeared in stage productions throughout college and continued on stage long after his tour of duty in Vietnam. 	 Savini served as a combat photographer during the Vietnam War.	male
"The artist currently lives and works in the outskirts of Cali, where he devotes his time both to the exploration of painting and artistic materials and techniques. "	 The artist's online magazine has been discontinued as of 2007.	male
Motl is described as having a natural talent for drawing cartoons – sometimes getting into trouble with people feeling insulted by his depiction of them. 	 Some episodes indicate that the author intended to have the character enter a journalistic career.	male
"“Dictators are stupid,” he noted, “They won’t necessarily read between the lines.” "	" As a young artist in Baghdad in the 1980s, Alfraji worked as an animator for children's television."	male
"However he often spent long periods at the Château de Saché, near Tours, the home of his friend Jean de Margonne, his mother's lover and father to her youngest child. "	 Today the chateau is a museum dedicated to the author's life.	male
"A precocious youngster, he was admitted to the Pharmacy School at the University of Buenos Aires at 14 years of age and subsequently to the Medical School of the same university from 1904 to 1910, beginning when he was only 17 years old. "	" While a third year medical student, Houssay took up a post as a research and teaching assistant in the Chair of Physiology."	male
"Born in Port de Grave, Newfoundland (now Newfoundland and Labrador, Canada), he was the fourth of the seven children of Robert Prowse and Jane Woodley. "	 Prowse is the author of A History of Newfoundland which is considered one of the most complete and meticulous colonial history books in existence.	male
"He accompanied Friedman in his numerous tours of China, and was present when Friedman met with Chinese leader Zhao Ziyang to discuss economic reforms. "	 Cheung was also an avid photographer.	male
As an infant Balzac was sent to a wet nurse; the following year he was joined by his sister Laure and they spent four years away from home. 	" When the Balzac children returned home, they were kept at a frosty distance from their parents, which affected the author-to-be significantly."	male
"Aside from his work as a musician, Mickelson has worked as a writer for Scream Magazine in addition to his work as a graphic designer. "	 Mickelson is the lead designer for Scream Magazine and the Inferno Metal Festival.	male
"Paul intervenes and overpowers him, but he wriggles free. "	 The librarian is then run over by a car in front of the library and apparently killed.	male
"At any rate, Philotas, the physician of Amphissa, used to tell my grandfather, Lamprias, that he was in Alexandria at the time, studying his profession, and that having got well acquainted with one of the royal cooks, he was easily persuaded by him (young man that he was) to take a view of the extravagant preparations for a royal supper. "	" But the cook burst out laughing and said: The guests are not many, only about twelve; but everything that is set before them must be at perfection, and this an instant of time reduces."	male
"Though baptised as Emilio Stanley by Italian missionaries in his youth, he has been known as Mwai Kibaki throughout his public life. "	 Kibaki turned out to be an exemplary student.	male
