context	segment	gender
"Lecocq enjoyed an early success in 1856, when he and Georges Bizet shared the first prize in a competition for composers of comic opera, organised by Jacques Offenbach. "	" Lacking the connections to secure commissions from Parisian theatres, Lecocq spent the next decade in obscurity and routine work as a teacher, accompanist and répétiteur."	male
In 1866 he became an instructor in palaeontology at the University of Munich and at the same time taught Princess Theresa and Prince Arnulf of Bavaria. 	" Although an excellent teacher, and especially competent in practical work, Waagen, who was a most loyal Catholic, had little prospect of obtaining a professorship at the University of Munich."	male
"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford. "	" Willetts is the author of several books on conservatism, including Why Vote Conservative (1996) and Modern Conservatism (1992), as well as numerous articles."	male
"In 1993 Jungnickel joined Augsburg University where he occupies the chair for discrete mathematics, optimisation, and operations research. "	 A reviewer notes that The author does a beautiful job showing and developing the practical applicability of the fascinating area of finite field theory.	male
He soon made a career change to costume and wardrobe. 	 Plunkett's first credited work as a costume designer was the 1927 film Hard-Boiled Haggerty.	male
"In 1999 The New Yorker chose him as one of America's most talented young writers, placing him on their 20 Writers for the 21st Century list.[citation needed] Of the novel The Ice Storm (later produced as the movie starring Sigourney Weaver), Hungry Mind Review commented that it “works on so many levels, and is so smartly written, that it should establish Rick Moody as one of his generation's bellwether voices. "	" It is also remarkably mature, containing far more insights about family life and far more wisdom than any 29-year-old author should reasonably possess."	male
"Through this piece and his other performance works, Brus hoped to reveal the still fascist essence of the nation. "	 Brus also was editor of the Schastrommel (author's edition) from 1969 on.	male
"Carlucci is asked for input, and he mumbles that the US government does not involve itself in the internal affairs of other countries. "	" At the time, Carlucci was the second secretary of the US Embassy in Congo."	male
"It finally leads him to union with Christ by exciting love for him as well as by pointing out the frailty of all creatures: It is necessary to leave the beloved thing for the beloved, because Jesus wishes to be loved above all things (Oportet dilectum propter dilectum relinquere, quia Jesus vult solus super omnia amari: II, xvii). "	" Though the book betrays that the author was well versed not only in Scholastic philosophy and theology, but also in the secrets of the mystical life, yet this fact never obtrudes itself on the reader, nor does it obscure the meaning of the contents."	male
Preparation for any role was very important for him. 	" The dancer says, It is desirable to know everything about the ballet, about the character, the composer, the choreographer – everything."	male
"In this time of personal crisis, he became famous In Hamburg for scrawling and scribbling all over the city, using mailboxes, billboards, traffic signs and subway stations and leaving whenever possible his business card: Peter-Ernst Eiffe, Wandsbeker Chaussee 305, 2000 Hamburg 22, including the phone number. "	 Eiffe was also magically attracted by the student movement.	male
"After the dentist takes Lavonia to the dental room, his nurse Flovilla kisses Lamar. "	 The doctor then switches places with the nurse.	male
"As Professor of Painting at the Royal Academy he gave a memorable series of lectures to the students of the Schools, published as Six Lectures on Painting (1904) and Aims and Ideals in Art (1906). "	 Clausen was an official war artist during World War I.	male
"In 1986, Nair rose to the post of Deputy Secretary at the Ministry of Trade and Industry where he was involved in the Uruguay Round of General Agreement on Tariffs and Trade (GATT) negotiations, as well as with the Association of Southeast Asian Nations (ASEAN). "	" From 1989 to 1997, Nair was Singapore's Deputy Secretary at the Ministry of Defence."	male
Thereafter he was an inmate at Brandenburg-Görden Prison in Brandenburg an der Havel until 1945. 	" From 1945 to 1946, Seibt was the first secretary of the Brandenburg district leadership and a member of the KPD Brandenburg state leadership."	male
"In 1960, he married French-Canadian Janick Larouche, whom he met in a language class in Toronto, and with whom he had sons Pierre and Hans. "	" Professionally, Zündel worked as a graphic artist, photographer, photo retoucher, and printer."	male
He has two daughters and a son. 	 Vaiko is now the general secretary of the MDMK party.	male
"He was educated at Dungourney National School, Rockwell College, County Tipperary, and University College Dublin where he graduated with a Bachelor of Arts in Economics, Politics and Psychology. "	" For a brief period in the early 1970s, Ahern worked as a secondary school teacher."	male
Kitani had his stroke when he was chatting with Go. Kitani died 6 months after. 	 Kitani was subsequently noted as the most prolific teacher ever of future professional players.	male
